AvgSpotLen_l	BioSample_s	Experiment_s	LoadDate_s	MBases_l	MBytes_l	Organism_s	ReleaseDate_s	Run_s	SRA_Sample_s	Sample_Name_s	collection_date_s	isolate_s	isolation_source_s	Assay_Type_s	BioProject_s	BioSampleModel_s	Center_Name_s	Consent_s	InsertSize_l	Instrument_s	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	Platform_s	SRA_Study_s	age_s	sex_s	tissue_s
95	SAMN03768881	SRX1075026	2015-10-13	15	10	Astatotilapia sp. RAD-290F	2015-10-18	SRR2080357	SRS973879	RAD-290F	2011-07-19	290F	Lake Itamba	OTHER	PRJNA286304	Model organism or animal	UNIVERSITY OF BRISTOL	public	0	Illumina HiSeq 2500	SINGLE	Reduced Representation	GENOMIC	ILLUMINA	SRP059986	not collected	not collected	fin
91	SAMN03768880	SRX1075027	2016-02-05	7	5	Astatotilapia sp. RAD-302	2016-02-10	SRR2080358	SRS973878	RAD-302	2011-07-19	302	Lake Itamba	OTHER	PRJNA286304	Model organism or animal	UNIVERSITY OF BRISTOL	public	0	Illumina HiSeq 2500	SINGLE	Reduced Representation	GENOMIC	ILLUMINA	SRP059986	not collected	not collected	fin
94	SAMN03768911	SRX1075028	2015-10-13	104	66	Astatotilapia calliptera	2015-10-18	SRR2080359	SRS973875	RAD-305A	2009	305A	Lake Chilwa	OTHER	PRJNA286304	Model organism or animal	UNIVERSITY OF BRISTOL	public	0	Illumina HiSeq 2500	SINGLE	Reduced Representation	GENOMIC	ILLUMINA	SRP059986	not collected	not collected	fin
92	SAMN03768912	SRX1075029	2016-02-05	3	2	Astatotilapia calliptera	2016-02-10	SRR2080360	SRS973874	RAD-305B	2009	305B	Lake Chilwa	OTHER	PRJNA286304	Model organism or animal	UNIVERSITY OF BRISTOL	public	0	Illumina HiSeq 2500	SINGLE	Reduced Representation	GENOMIC	ILLUMINA	SRP059986	not collected	not collected	fin
91	SAMN03768885	SRX1075030	2016-02-05	42	28	Astatotilapia sp. RAD-313	2016-02-10	SRR2080361	SRS973745	RAD-313	2011-07-20	313	Lake Ikapu	OTHER	PRJNA286304	Model organism or animal	UNIVERSITY OF BRISTOL	public	0	Illumina HiSeq 2500	SINGLE	Reduced Representation	GENOMIC	ILLUMINA	SRP059986	not collected	not collected	fin
91	SAMN03768886	SRX1075031	2015-10-13	63	44	Astatotilapia sp. RAD-315B	2015-10-18	SRR2080362	SRS973743	RAD-315B	2011-07-20	315B	Lake Ikapu	OTHER	PRJNA286304	Model organism or animal	UNIVERSITY OF BRISTOL	public	0	Illumina HiSeq 2500	SINGLE	Reduced Representation	GENOMIC	ILLUMINA	SRP059986	not collected	not collected	fin
91	SAMN03768887	SRX1075032	2015-10-13	28	20	Astatotilapia sp. RAD-327	2015-10-18	SRR2080363	SRS973877	RAD-327	2011-07-20	327	Lake Ikapu	OTHER	PRJNA286304	Model organism or animal	UNIVERSITY OF BRISTOL	public	0	Illumina HiSeq 2500	SINGLE	Reduced Representation	GENOMIC	ILLUMINA	SRP059986	not collected	not collected	fin
92	SAMN03768901	SRX1075033	2015-10-13	265	180	Astatotilapia calliptera	2015-10-18	SRR2080364	SRS973876	RAD-351A	2009	351A	Ruo	OTHER	PRJNA286304	Model organism or animal	UNIVERSITY OF BRISTOL	public	0	Illumina HiSeq 2500	SINGLE	Reduced Representation	GENOMIC	ILLUMINA	SRP059986	not collected	not collected	fin
95	SAMN03768902	SRX1075034	2015-10-13	154	98	Astatotilapia calliptera	2015-10-18	SRR2080365	SRS973746	RAD-351B	2009	351B	Ruo	OTHER	PRJNA286304	Model organism or animal	UNIVERSITY OF BRISTOL	public	0	Illumina HiSeq 2500	SINGLE	Reduced Representation	GENOMIC	ILLUMINA	SRP059986	not collected	not collected	fin
91	SAMN03768860	SRX1075035	2016-02-05	4	2	Astatotilapia sp. RAD-367A	2016-02-10	SRR2080366	SRS973747	RAD-367A	2011-07-21	367A	Lake Kingiri	OTHER	PRJNA286304	Model organism or animal	UNIVERSITY OF BRISTOL	public	0	Illumina HiSeq 2500	SINGLE	Reduced Representation	GENOMIC	ILLUMINA	SRP059986	not collected	not collected	fin
95	SAMN03768861	SRX1075036	2015-10-13	291	189	Astatotilapia sp. RAD-367B	2015-10-18	SRR2080367	SRS965817	RAD-367B	2011-07-21	367B	Lake Kingiri	OTHER	PRJNA286304	Model organism or animal	UNIVERSITY OF BRISTOL	public	0	Illumina HiSeq 2500	SINGLE	Reduced Representation	GENOMIC	ILLUMINA	SRP059986	not collected	not collected	fin
95	SAMN03768862	SRX1075037	2015-10-13	350	225	Astatotilapia sp. RAD-367C	2015-10-18	SRR2080368	SRS971617	RAD-367C	2011-07-21	367C	Lake Kingiri	OTHER	PRJNA286304	Model organism or animal	UNIVERSITY OF BRISTOL	public	0	Illumina HiSeq 2500	SINGLE	Reduced Representation	GENOMIC	ILLUMINA	SRP059986	not collected	not collected	fin
91	SAMN03768866	SRX1075038	2015-10-13	138	92	Astatotilapia calliptera	2015-10-18	SRR2080369	SRS973870	RAD-3C10A	27-Nov-2011	3C10A	Lake Itende	OTHER	PRJNA286304	Model organism or animal	UNIVERSITY OF BRISTOL	public	0	Illumina HiSeq 2500	SINGLE	Reduced Representation	GENOMIC	ILLUMINA	SRP059986	not collected	not collected	fin
91	SAMN03768867	SRX1075039	2015-10-13	27	18	Astatotilapia calliptera	2015-10-18	SRR2080370	SRS973869	RAD-3C10B	27-Nov-2011	3C10B	Lake Itende	OTHER	PRJNA286304	Model organism or animal	UNIVERSITY OF BRISTOL	public	0	Illumina HiSeq 2500	SINGLE	Reduced Representation	GENOMIC	ILLUMINA	SRP059986	not collected	not collected	fin
